timestamp,value
2024-12-31,3.4
2024-12-30,3.39
2024-12-27,2.91
2024-12-26,2.96
2024-12-24,2.95
2024-12-23,2.89
2024-12-20,3.1
2024-12-19,3.15
2024-12-18,3.01
2024-12-17,2.85
2024-12-16,2.87
2024-12-13,3.15
2024-12-12,3.12
2024-12-11,2.9
2024-12-10,2.9
2024-12-09,3.05
2024-12-06,2.83
2024-12-05,2.95
2024-12-04,2.75
2024-12-03,2.94
2024-12-02,3.05
2024-11-29,3.39
2024-11-27,3.39
2024-11-26,3.19
2024-11-25,2.78
2024-11-22,2.41
2024-11-21,2.84
2024-11-20,2.32
2024-11-19,2.1
2024-11-18,2.08
2024-11-15,1.65
2024-11-14,2.11
2024-11-13,2.06
2024-11-12,1.92
2024-11-11,1.21
2024-11-08,1.21
2024-11-07,1.49
2024-11-06,1.8
2024-11-05,1.62
2024-11-04,1.35
2024-11-01,1.42
2024-10-31,1.82
2024-10-30,2.03
2024-10-29,1.82
2024-10-28,2.03
2024-10-25,1.93
2024-10-24,2.04
2024-10-23,1.9
2024-10-22,1.76
2024-10-21,1.76
2024-10-18,1.82
2024-10-17,2.19
2024-10-16,2.21
2024-10-15,2.37
2024-10-11,2.31
2024-10-10,2.26
2024-10-09,2.43
2024-10-08,2.51
2024-10-07,2.51
2024-10-04,2.49
2024-10-03,2.75
2024-10-02,2.77
2024-10-01,2.67
2024-09-30,2.65
2024-09-27,2.53
2024-09-26,2.64
2024-09-25,2.62
2024-09-24,2.61
2024-09-23,2.4
2024-09-20,2.2
2024-09-19,2.24
2024-09-18,2.31
2024-09-17,2.33
2024-09-16,2.23
2024-09-13,2.25
2024-09-12,2.13
2024-09-11,2.13
2024-09-10,2.13
2024-09-09,2.03
2024-09-06,2.09
2024-09-05,2.02
2024-09-04,2.05
2024-09-03,1.93
2024-08-30,1.93
2024-08-29,1.85
2024-08-28,1.89
2024-08-27,1.91
2024-08-26,2.13
2024-08-23,1.82
2024-08-22,1.93
2024-08-21,2.14
2024-08-20,2.18
2024-08-19,2.12
2024-08-16,2.01
2024-08-15,2.19
2024-08-14,2.18
2024-08-13,2.16
2024-08-12,2.1
2024-08-09,1.94
2024-08-08,1.85
2024-08-07,1.96
2024-08-06,1.83
2024-08-05,1.83
2024-08-02,1.89
2024-08-01,1.95
2024-07-31,1.94
2024-07-30,1.81
2024-07-29,1.9
2024-07-26,1.98
2024-07-25,2.0
2024-07-24,2.0
2024-07-23,2.13
2024-07-22,2.19
2024-07-19,1.88
2024-07-18,2.0
2024-07-17,1.98
2024-07-16,2.1
2024-07-15,2.12
2024-07-12,2.17
2024-07-11,2.23
2024-07-10,2.4
2024-07-09,2.42
2024-07-08,2.1
2024-07-05,2.02
2024-07-03,2.02
2024-07-02,2.06
2024-07-01,2.21
2024-06-28,2.42
2024-06-27,2.55
2024-06-26,2.45
2024-06-25,2.61
2024-06-24,2.58
2024-06-21,2.44
2024-06-20,2.39
2024-06-18,2.43
2024-06-17,2.5
2024-06-14,2.74
2024-06-13,2.79
2024-06-12,2.8
2024-06-11,2.71
2024-06-10,2.61
2024-06-07,2.46
2024-06-06,2.3
2024-06-05,2.27
2024-06-04,2.58
2024-06-03,2.55
2024-05-31,1.78
2024-05-30,1.87
2024-05-29,2.2
2024-05-28,2.29
2024-05-24,2.22
2024-05-23,2.64
2024-05-22,2.51
2024-05-21,2.52
2024-05-20,2.52
2024-05-17,2.44
2024-05-16,2.32
2024-05-15,2.12
2024-05-14,2.14
2024-05-13,2.11
2024-05-10,2.14
2024-05-09,2.03
2024-05-08,2.01
2024-05-07,1.95
2024-05-06,1.88
2024-05-03,1.67
2024-05-02,1.66
2024-05-01,1.63
2024-04-30,1.68
2024-04-29,1.55
2024-04-26,1.4
2024-04-25,1.46
2024-04-24,1.6
2024-04-23,1.59
2024-04-22,1.64
2024-04-19,1.43
2024-04-18,1.59
2024-04-17,1.5
2024-04-16,1.38
2024-04-15,1.41
2024-04-12,1.36
2024-04-11,1.62
2024-04-10,1.9
2024-04-09,1.83
2024-04-08,1.73
2024-04-05,1.58
2024-04-04,1.78
2024-04-03,1.86
2024-04-02,1.65
2024-04-01,1.64
2024-03-28,1.54
2024-03-27,1.43
2024-03-26,1.48
2024-03-25,1.46
2024-03-22,1.5
2024-03-21,1.55
2024-03-20,1.58
2024-03-19,1.55
2024-03-18,1.54
2024-03-15,1.38
2024-03-14,1.26
2024-03-13,1.25
2024-03-12,1.57
2024-03-11,1.54
2024-03-08,1.54
2024-03-07,1.56
2024-03-06,1.67
2024-03-05,1.51
2024-03-04,1.48
2024-03-01,1.47
2024-02-29,1.67
2024-02-28,1.61
2024-02-27,1.52
2024-02-26,1.65
2024-02-23,1.52
2024-02-22,1.62
2024-02-21,1.58
2024-02-20,1.5
2024-02-16,1.55
2024-02-15,1.53
2024-02-14,1.51
2024-02-13,1.61
2024-02-12,1.76
2024-02-09,1.74
2024-02-08,1.74
2024-02-07,1.94
2024-02-06,2.1
2024-02-05,2.12
2024-02-02,2.01
2024-02-01,2.15
2024-01-31,2.19
2024-01-30,2.26
2024-01-29,2.41
2024-01-26,2.36
2024-01-25,2.56
2024-01-24,2.45
2024-01-23,2.15
2024-01-22,2.35
2024-01-19,2.7
2024-01-18,2.88
2024-01-17,2.86
2024-01-16,3.25
2024-01-12,13.2
2024-01-11,3.15
2024-01-10,3.25
2024-01-09,3.25
2024-01-08,2.72
2024-01-05,2.75
2024-01-04,2.83
2024-01-03,2.57
2024-01-02,2.56
